"MSOA","Tenure","People","Rooms","Count"
"E02000872",6,1,3,92
"E02000872",6,1,4,53
"E02000872",6,1,5,7
"E02000872",6,1,6,6
"E02000872",6,2,1,21
"E02000872",6,2,2,118
"E02000872",6,2,3,162
"E02000872",6,2,4,147
"E02000872",6,2,5,34
"E02000872",6,2,6,9
"E02000872",6,3,1,1
"E02000872",6,3,2,13
"E02000872",6,3,3,37
"E02000872",6,3,4,76
"E02000872",6,3,5,66
"E02000872",6,3,6,17
"E02000872",6,4,1,0
"E02000872",6,4,2,2
"E02000872",6,4,3,14
"E02000872",6,4,4,39
"E02000872",6,4,5,54
"E02000872",6,4,6,47
"E02000873",2,1,1,2
"E02000873",2,1,2,5
"E02000873",2,1,3,24
"E02000873",2,1,4,45
"E02000873",2,1,5,15
"E02000873",2,1,6,7
"E02000873",2,2,1,1
"E02000873",2,2,2,1
"E02000873",2,2,3,14
"E02000873",2,2,4,29
"E02000873",2,2,5,14
"E02000873",2,2,6,7
"E02000873",2,3,1,0
"E02000873",2,3,2,2
"E02000873",2,3,3,4
"E02000873",2,3,4,11
"E02000873",2,3,5,7
"E02000873",2,3,6,7
"E02000873",2,4,1,0
"E02000873",2,4,2,0
"E02000873",2,4,3,3
"E02000873",2,4,4,8
"E02000873",2,4,5,7
"E02000873",2,4,6,11
"E02000873",3,1,1,2
"E02000873",3,1,2,18
"E02000873",3,1,3,59
"E02000873",3,1,4,49
"E02000873",3,1,5,17
"E02000873",3,1,6,5
"E02000873",3,2,1,0
"E02000873",3,2,2,8
"E02000873",3,2,3,81
"E02000873",3,2,4,88
"E02000873",3,2,5,15
"E02000873",3,2,6,7
"E02000873",3,3,1,0
"E02000873",3,3,2,8
"E02000873",3,3,3,14
"E02000873",3,3,4,24
"E02000873",3,3,5,14
"E02000873",3,3,6,6
"E02000873",3,4,1,0
"E02000873",3,4,2,4
"E02000873",3,4,3,5
"E02000873",3,4,4,28
"E02000873",3,4,5,33
"E02000873",3,4,6,18
"E02000873",5,1,1,36
"E02000873",5,1,2,69
"E02000873",5,1,3,200
"E02000873",5,1,4,119
"E02000873",5,1,5,27
"E02000873",5,1,6,25
"E02000873",5,2,1,8
"E02000873",5,2,2,25
"E02000873",5,2,3,68
"E02000873",5,2,4,109
"E02000873",5,2,5,32
"E02000873",5,2,6,14
"E02000873",5,3,1,1
"E02000873",5,3,2,14
"E02000873",5,3,3,23
"E02000873",5,3,4,75
"E02000873",5,3,5,27
"E02000873",5,3,6,13
"E02000873",5,4,1,0
"E02000873",5,4,2,11
"E02000873",5,4,3,36
"E02000873",5,4,4,186
"E02000873",5,4,5,128
"E02000873",5,4,6,49
"E02000873",6,1,1,31
"E02000873",6,1,2,30
"E02000873",6,1,3,42
"E02000873",6,1,4,23
"E02000873",6,1,5,11
"E02000873",6,1,6,30
"E02000873",6,2,1,5
"E02000873",6,2,2,31
"E02000873",6,2,3,80
"E02000873",6,2,4,74
"E02000873",6,2,5,22
"E02000873",6,2,6,15
"E02000873",6,3,1,1
"E02000873",6,3,2,4
"E02000873",6,3,3,21
"E02000873",6,3,4,60
"E02000873",6,3,5,45
"E02000873",6,3,6,15
"E02000873",6,4,1,0
"E02000873",6,4,2,5
"E02000873",6,4,3,20
"E02000873",6,4,4,57
"E02000873",6,4,5,57
"E02000873",6,4,6,91
"E02000874",2,1,1,11
"E02000874",2,1,2,8
"E02000874",2,1,3,12
"E02000874",2,1,4,12
"E02000874",2,1,5,22
"E02000874",2,1,6,7
"E02000874",2,2,1,2
"E02000874",2,2,2,2
"E02000874",2,2,3,1
"E02000874",2,2,4,19
"E02000874",2,2,5,10
"E02000874",2,2,6,2
"E02000874",2,3,1,0
"E02000874",2,3,2,1
"E02000874",2,3,3,5
"E02000874",2,3,4,6
"E02000874",2,3,5,3
"E02000874",2,3,6,5
"E02000874",2,4,1,0
"E02000874",2,4,2,0
"E02000874",2,4,3,2
"E02000874",2,4,4,2
"E02000874",2,4,5,21
"E02000874",2,4,6,11
"E02000874",3,1,1,7
"E02000874",3,1,2,7
"E02000874",3,1,3,31
"E02000874",3,1,4,25
"E02000874",3,1,5,14
"E02000874",3,1,6,7
